image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/51tZoSQjQZL.jpg,101697,width,40.0 centimetre
https://m.media-amazon.com/images/I/612f4sf+uML.jpg,101697,depth,28.0 inch
https://m.media-amazon.com/images/I/619S00V9WpL.jpg,101697,depth,20.0 centimetre
https://m.media-amazon.com/images/I/51iQwQjQ+7L.jpg,101697,width,5.0 inch
https://m.media-amazon.com/images/I/514j9sXE6SL.jpg,101697,depth,27.2 centimetre
https://m.media-amazon.com/images/I/510wCG+XWCL.jpg,101697,width,21.5 centimetre
https://m.media-amazon.com/images/I/617gipegbDL.jpg,101697,width,20.5 centimetre
https://m.media-amazon.com/images/I/51wy5tRlAjL.jpg,101697,depth,28.0 centimetre
https://m.media-amazon.com/images/I/51soM-meRiL.jpg,101697,width,4.0 inch
https://m.media-amazon.com/images/I/51qyoL1+V6L.jpg,101697,depth,30.0 centimetre
https://m.media-amazon.com/images/I/51mx+AZkL4L.jpg,104874,depth,7.7 inch
https://m.media-amazon.com/images/I/51xd+ivfBpL.jpg,104874,width,6.37 inch
https://m.media-amazon.com/images/I/41wheiVqEXL.jpg,104874,depth,13.0 inch
https://m.media-amazon.com/images/I/51pX5fz7qzL.jpg,104874,depth,16.0 inch
https://m.media-amazon.com/images/I/61-wxyCHX7L.jpg,104874,depth,120.0 millimetre
https://m.media-amazon.com/images/I/51qavjUb6gL.jpg,104874,depth,33.0 centimetre
https://m.media-amazon.com/images/I/61EtZT4soSL.jpg,104874,width,33.0 centimetre
https://m.media-amazon.com/images/I/613ahipbSsL.jpg,104874,depth,15.75 inch
https://m.media-amazon.com/images/I/4123WVXK7cL.jpg,104874,width,8.5 centimetre
https://m.media-amazon.com/images/I/61-rYc99EmL.jpg,104874,depth,16.5 inch
https://m.media-amazon.com/images/I/618VCQL3s7L.jpg,106003,width,20.5 centimetre
https://m.media-amazon.com/images/I/51ksy0h3w3L.jpg,106003,width,12.0 centimetre
https://m.media-amazon.com/images/I/617ewjOMQJL.jpg,106003,height,10.0 centimetre
https://m.media-amazon.com/images/I/51g54A8yHqL.jpg,106003,height,4.0 inch
https://m.media-amazon.com/images/I/51+GkvF1TqL.jpg,106003,height,12.5 centimetre
https://m.media-amazon.com/images/I/51kDVSNHRZL.jpg,106003,width,6.0 centimetre
https://m.media-amazon.com/images/I/51bQPJQDTTL.jpg,106003,width,3.93 inch
https://m.media-amazon.com/images/I/610UROMZOmL.jpg,106003,width,3.39 inch
https://m.media-amazon.com/images/I/41Fy0Ky+DZL.jpg,106003,height,10.0 centimetre
https://m.media-amazon.com/images/I/61Ey+IidYQL.jpg,106003,height,4.33 inch
https://m.media-amazon.com/images/I/51tTBBtvePL.jpg,107694,item_weight,500.0 pound
https://m.media-amazon.com/images/I/61-iESRXMvL.jpg,107694,depth,20.5 inch
https://m.media-amazon.com/images/I/519I7jAQZ4L.jpg,107694,depth,297.0 centimetre
https://m.media-amazon.com/images/I/615frPGfa1L.jpg,107694,item_weight,"[11.0, 18.0] pound"
https://m.media-amazon.com/images/I/61Bos6KGofL.jpg,107694,width,55.0 centimetre
https://m.media-amazon.com/images/I/61A56WscujL.jpg,107694,item_weight,"[6.0, 20.0] kilogram"
https://m.media-amazon.com/images/I/61C+U-QLigL.jpg,107694,depth,180.0 centimetre
https://m.media-amazon.com/images/I/61-UhiBcLrL.jpg,107694,width,70.0 centimetre
https://m.media-amazon.com/images/I/61hu8Xa-5VL.jpg,107694,item_weight,180.0 pound
